id,type,prompt,config,delegated,subagent_types,expected_agents,agent_match
D01,direct,프로필 수정 API 인터페이스를 설계해줘,minimal-hook,True,api-designer,api-designer,True
D02,direct,UserService 코드 구조를 분석해줘,minimal-hook,True,code-analyzer,code-analyzer,True
D03,direct,팔로우 목록 조회 쿼리를 최적화해줘,minimal-hook,True,db-query-helper,db-query-helper,True
D04,direct,UserService 팔로우 기능 단위 테스트를 작성해줘,minimal-hook,True,test-writer,test-writer,True
D05,direct,통화 매칭 로직의 응답 시간을 개선해줘,minimal-hook,True,performance-optimizer,performance-optimizer,True
D06,direct,채팅 모듈 DynamoDB 마이그레이션 계획을 세워줘,minimal-hook,True,migration-planner,migration-planner,True
N01,natural,클라이언트에서 사용자 프로필을 수정하는 API의 입출력을 정의해야 해,minimal-hook,True,api-designer,api-designer,True
N02,natural,CallService의 의존성이 복잡한데 정리가 필요해,minimal-hook,True,code-analyzer,code-analyzer,True
N03,natural,UserRepository의 findByNickname 쿼리가 너무 느려,minimal-hook,True,db-query-helper,db-query-helper,True
N04,natural,통화 매칭 로직의 엣지 케이스가 걱정돼,minimal-hook,True,code-analyzer,test-writer,False
N05,natural,팔로우 목록 조회 시 응답이 3초가 걸려,minimal-hook,True,performance-optimizer,performance-optimizer,True
N06,natural,푸시 알림 시스템을 FCM에서 자체 구현으로 전환하려고 해,minimal-hook,True,migration-planner,migration-planner,True
A01,ambiguous,새 API endpoint 만들어줘,minimal-hook,True,api-designer,api-designer|code-analyzer,True
A02,ambiguous,데이터 모델 설계해줘,minimal-hook,True,api-designer,db-query-helper|api-designer,True
A03,ambiguous,notification 모듈에 새 기능 추가해줘,minimal-hook,False,,code-analyzer|api-designer,False
A04,ambiguous,채팅 모듈을 DynamoDB로 전환해줘,minimal-hook,True,migration-planner,migration-planner|performance-optimizer,True
D07,direct,UserRepository에 새 쿼리 메서드를 추가해줘,minimal-hook,True,db-query-helper,db-query-helper,True
N07,natural,통화 기능에서 버그가 나는데 테스트가 없어,minimal-hook,True,test-writer,test-writer,True
N08,natural,Redis 캐시 적용해서 조회 속도를 올리고 싶어,minimal-hook,True,performance-optimizer,performance-optimizer,True
N09,natural,gRPC Proto에 새 필드를 추가해야 하는데 어떻게 정의하지,minimal-hook,True,api-designer,api-designer,True
